ProviderName,Guid,EventSourceName,EventID,Version,Level,Task,Opcode,Keywords,TimeCreated,EventRecordID,Correlation,ProcessID,ThreadID,ProcessorID,KernelTime,UserTime,Channel,Computer,Security,Data,Binary
Microsoft-Windows-User Profiles Service,{89b1e9f0-5aff-44a6-9b44-0a07a7ce5845},Microsoft-Windows-User Profiles Service,1531,0,4,0,0,0x8000000000000000,"2025-05-28T21:00:22.7459",1, ,728,2060, ,, ,Application,WIN-4K2F5D8DSVV,S-1-5-18,"The User Profile Service has started successfully.", 
Microsoft-Windows-WMI,{1edeee53-0afe-4609-b846-d8c0b2075b1f},Microsoft-Windows-WMI,5615,2,4,0,0,0x8000000000000000,"2025-05-28T21:00:24.2169",2, ,2420,3160, ,, ,Application,WIN-4K2F5D8DSVV,S-1-5-18,"Windows Management Instrumentation Service started sucessfully", 
edgeupdate,{},edgeupdate,0,0,4,0,0,0x80000000000000,"2025-05-28T21:00:24.8872",3, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"Service stopped.", 
Microsoft-Windows-Search,{ca4e628d-8567-4896-ab6b-835b221f373f},Microsoft-Windows-Search,1003,0,4,1,0,0x80000000000000,"2025-05-28T21:00:24.9341",4, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Windows Search Service started.", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:24.9966",5, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) Publishing License (Public)
License Id=cff56dec-28c5-4589-a13c-f23889530841", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:24.9966",6, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) Publishing License (Private)
License Id=03dfcd1d-02bc-47e5-89b2-1830b20f47e7", 
Microsoft-Windows-WMI,{1edeee53-0afe-4609-b846-d8c0b2075b1f},Microsoft-Windows-WMI,5617,2,4,0,0,0x8000000000000000,"2025-05-28T21:00:25.8135",7, ,2420,3412, ,, ,Application,WIN-4K2F5D8DSVV,S-1-5-18,"Windows Management Instrumentation Service subsystems initialized successfully", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:27.9653",8, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL oob License (Public)
License Id=2192b9b2-355e-4ca1-a78c-027d40157049", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:27.9809",9, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL oob License (Private)
License Id=be7f2d18-5c15-4517-8bbb-6b94d6f9f2d3", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:28.7309",10, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL phone License (Public)
License Id=846e0774-4b7e-4b80-a513-fdafeb8d0f04", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:28.7309",11, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL phone License (Private)
License Id=8615e114-4061-4e2d-9421-be47753305aa", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:29.1840",12, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL store License (Public)
License Id=645a48e7-0c37-4981-ae34-e496b0952fee", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:29.1840",13, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL store License (Private)
License Id=f65571ef-fb4e-4a91-994f-caec4dd5a6d4", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:29.8231",14, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) Publishing License (Public)
License Id=182e20d3-6fa2-43f7-822d-274e983d0263", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:29.8231",15, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) Publishing License (Private)
License Id=e5401404-0580-4da9-964e-851be5a76705", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:30.5262",16, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL oob License (Public)
License Id=1c9044aa-97b8-4b13-b047-a9a498bcbb4a", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:30.5262",17, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL oob License (Private)
License Id=850f30e9-fbdb-43cc-b0d6-c17f58133827", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:31.5886",18, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL phone License (Public)
License Id=eaba8417-9f80-41ff-9d18-dbb29f73fa7c", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:31.5886",19, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL phone License (Private)
License Id=118c1c61-d1e2-43ba-87e9-26a89cef3189", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:31.6824",20, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL store License (Public)
License Id=9ed5cf10-ee68-491e-83b2-ad41b64dd5f7", 
Microsoft-Windows-Security-SPP,{e23b33b0-c8c9-472c-a5f9-f2bdfea0f156},Microsoft-Windows-Security-SPP,1004,0,4,0,0,0x80000000000000,"2025-05-28T21:00:31.6824",21, ,0,0, ,, ,Application,WIN-4K2F5D8DSVV,,"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL store License (Private)
License Id=ffa6bb82-2cf7-45c8-88b9-8b82336e5b43", 
